"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"SL1344_2848",598.330673359321,2.79695937301618,0.224073769598084,12.4823149895368,9.32358413673456e-36,3.8766075861084e-34
"SL1344_3190",843.288404238941,2.47917123496401,0.19916758842187,12.4476640732965,1.43998185426527e-35,5.93815467935128e-34
"STnc440",3027.34906395093,3.8820543878784,0.312231776679633,12.4332456778145,1.72486086288569e-35,7.0551016269739e-34
"SL1344_2849",791.880598248037,2.80919983395973,0.226151678740931,12.4217509664291,1.99154402274268e-35,8.08020804711164e-34
"SL1344_ncRNA_110",3027.53219055323,3.87797194710878,0.312331038007018,12.4162234142789,2.13399609678157e-35,8.58890749032645e-34
"SL1344_4198",984.59259176522,3.31271511419565,0.267216162462257,12.3971360252715,2.70831468250093e-35,1.08139136251287e-33
"SL1344_1093",273.415517764055,-3.35145769872099,0.270555164994415,-12.3873358647216,3.06042350370078e-35,1.21236146827706e-33
"SL1344_3391",3723.82566646809,-3.09141913404075,0.249826613838753,-12.3742586369764,3.60204849512193e-35,1.41577390460613e-33
"SL1344_3440",192.860630050315,-3.9897081377415,0.324553839617681,-12.2929007478122,9.88925868915175e-35,3.85681088876918e-33
"SL1344_0151",1534.26078343964,-3.11531828919675,0.253995903911333,-12.2652304278272,1.39215690941773e-34,5.3876472394466e-33
"SL1344_3382",9905.48901509408,-3.05078989599872,0.24940241987177,-12.2323989380988,2.08683152473926e-34,8.01438885569711e-33
"SL1344_1582",699.053421107301,3.02048563230415,0.24785355289111,12.1865738742553,3.66508631629022e-34,1.39689767100425e-32
"RprA",27920.9826995326,2.45321555093708,0.201971726592792,12.1463315302699,5.99978034682686e-34,2.25260409887208e-32
"SL1344_ncRNA_33",27920.9826995326,2.45321555093708,0.201971726592792,12.1463315302699,5.99978034682686e-34,2.25260409887208e-32
"SL1344_1185",491.327251703746,2.83148817443077,0.234531829606416,12.072937729529,1.46798497775654e-33,5.47069068377269e-32
"SL1344_1031",223.83544585612,6.69955154081803,0.555134209356765,12.0683456863176,1.55223369116021e-33,5.74212330899045e-32
"SL1344_2143",509.264917539746,3.152467128749,0.261284363592811,12.0652728138828,1.61127537153029e-33,5.91702656508679e-32
"SL1344_0361",521.030053448084,4.43408337101546,0.368123350270011,12.0451021858927,2.05821199642586e-33,7.50352503914383e-32
"SL1344_3402",2566.51758766157,-2.98641084603899,0.248185998610718,-12.0329545693801,2.38471279695465e-33,8.63128782840206e-32
"SL1344_0581",185.554525321345,-3.71981139138086,0.309233701372955,-12.0291267570947,2.49788699272312e-33,8.97633532885e-32
"SL1344_3389",1901.45096220459,-2.98206263106505,0.247922499334496,-12.0282049393253,2.5259292633699e-33,9.01273058440707e-32
