"","SRR951029","SRR951030","SRR951035","SRR951036","SRR951038","SRR951039"
"SL1344_2305",4.66,4.18,3.53,5.22,10.83,6.9
"SL1344_2306",64.61,66.02,7.9,9.34,7.13,3.78
"SL1344_2307",43.4,43.13,3.23,3.63,0.41,0.26
"STnc1560",209.08,205.3,62.58,66.81,44.99,40.01
"STnc3730",117.54,115.43,36.77,39.06,26.72,22.59
"SL1344_2308",2.25,1.54,0.68,0.81,0.21,0.12
"SL1344_2309",4.02,4.46,3.89,3.93,0.3,0.22
"SL1344_2310",2.93,2.54,2.63,2.32,0.06,0.03
"SL1344_2311",2.96,2.89,3.13,3.27,0.14,0.08
"SL1344_2312",1.71,1.91,1.95,2.37,0.24,0.15
"SL1344_2313",2.39,2.53,5.29,3.16,1.34,0.54
"SL1344_2314",4.32,4.47,3.13,3.67,0.26,0.2
"SL1344_2315",21.79,21.66,9.1,9.96,1.68,0.95
"SL1344_2316",33.22,31.8,9.46,13.22,1.7,0.88
"SL1344_2317",2.41,2.71,2.8,3.08,2.41,0.88
"SL1344_2318",1.52,1.81,1.78,1.87,0.53,0.44
"SL1344_2319",2.11,2.36,3.04,3.91,9.85,6.58
"STnc3740",14.42,8.91,23.96,31.16,115.64,83.45
"SL1344_2320",3.67,3.66,1.82,2.33,0.61,1.01
"SL1344_2321",3.62,3.02,1.91,1.76,0.99,0.63
"SL1344_2322",3.92,3.95,1.5,1.69,0.78,0.39
"SL1344_2323",10.52,10.49,5.39,4.82,2.01,1.3
"SL1344_2324",3.31,2.73,2.99,1.52,2.79,1.58
"SL1344_2325",6.59,5.72,3.28,4.64,0.54,0.41
"SL1344_2326",3.42,3.37,1.34,1.72,0.41,0.27
"SL1344_2327",1.6,1.82,1.71,1.66,1.06,0.51
"SL1344_2328",0.51,0.55,0.64,0.62,0.41,0.12
"SL1344_2329",0.57,0.75,0.31,0.27,0.13,0.06
"SL1344_2330",1.99,1.75,1.77,1.37,0.19,0.11
"SL1344_2331",13.68,13.8,8.99,6.51,0.28,0.2
"SL1344_2332",35.11,35.58,23.87,16.15,0.31,0.39
"SL1344_2333",23.94,23.18,10.53,11.73,0.62,0.41
"SL1344_2334",12.24,13.03,6.58,6.85,0.56,0.35
"SL1344_2335",33.71,36.14,9.75,13.16,1.74,1.12
"SL1344_2336",8.79,9.09,2.77,3.44,0.5,0.29
"SL1344_2337",9.37,9.46,4.23,3.89,0.41,0.26
"SL1344_2338",8.02,7.1,1.96,2.64,0.16,0.11
"SL1344_2339",13.99,12.8,3.9,4.72,0.26,0.18
"SL1344_2340",5.71,4.76,2.03,2.5,0.23,0.11
"SL1344_2341",4.04,3.38,1.82,2.3,0.27,0.18
"SL1344_2342",0.07,0.35,0.09,0.18,0.1,0.13
"SL1344_2343",0.42,0.94,0.13,0.33,0.79,0.31
"SL1344_2344",0.91,0.78,0.68,0.68,0.3,0.11
"SL1344_2345",1.4,0.9,0.63,0.8,0.15,0.05
"SL1344_2346",3.94,4.92,0.84,1.11,0.68,0.31
"SL1344_2347",79.12,81.08,13.32,16.89,2.13,1.25
"SL1344_2348",6.8,6.9,2.81,3.27,0.8,0.53
"SL1344_2349",32.65,32.04,8.51,11.17,10.34,4.65
"SL1344_2350",15.14,17.72,1.31,1.9,0.21,0.09
"SL1344_2351",6.11,5.96,0.81,1.11,0.74,0.22
"SL1344_2352",7.28,7.84,2.2,2.35,0.29,0.12
"SL1344_2353",8.66,9.49,2.25,2.67,0.22,0.14
"SL1344_2354",16.1,17.25,3.35,3.55,0.43,0.23
"SL1344_2355",4.79,5.15,2.37,2.5,4.37,0.69
"SL1344_2356",28.03,25.92,15.63,15.95,10.98,7.01
"SL1344_2357",1.7,1.41,2.92,2.63,1.03,0.5
"SL1344_2358",0.16,0.3,0.95,0.49,0.24,0.17
"SL1344_2359",18.63,16.66,14.05,15.36,0.8,0.59
"SL1344_2360",11.92,11.91,6.74,5.35,4.35,3.21
"SL1344_2361",22.47,21.8,7.6,9.75,2.01,1.33
"SL1344_2362",0.55,0.61,2.18,2.37,1.47,0.65
"SL1344_tRNA_37",6651.83,6776.88,4386.23,6650.63,4554.94,5741.47
"STnc3750",5.64,4.35,11.72,12.5,18.25,9.34
"SL1344_2363",2.37,2.92,3.95,4.49,6.2,3.04
"SL1344_2364",1.22,1.3,1.39,1.52,0.3,0.15
"SL1344_2365",1.9,1.66,1.33,1.79,0.18,0.09
"SL1344_2366",0.59,0.74,0.76,0.89,0.33,0.15
"SL1344_2367",0.35,0.26,0.59,0.52,4.76,2.2
"SL1344_2368",2.34,2.25,5.19,5.08,6.42,3.17
"SL1344_2369",0.76,0.68,0.22,0.47,0.31,0.19
"tpke70",40.11,41.9,7.44,12.58,8.35,6.03
"SL1344_2369A",79.85,77.52,19.49,39.68,37.64,27.24
"SL1344_2370",7.19,6.69,4.08,5.39,0.86,0.88
"STnc3760",11.72,10.14,11.66,13.53,3.06,2.37
"SL1344_2371",7.45,7.53,6.16,6.25,1.39,0.68
"SL1344_2372",1.45,1.14,1.58,1.86,0.78,0.49
"SL1344_2373",1.03,0.87,1.62,1.65,3.68,2.12
"SL1344_2374",2.23,2.9,1.61,1.84,1.59,0.63
"SL1344_2375",4.75,3.75,7.55,6.82,3,1.95
"SL1344_2376",2.73,2.52,3.67,2.83,5.54,2.45
"SL1344_2377",34.77,35.17,5.27,5.17,3.89,2.73
"SL1344_2378",2.35,2.02,2.7,3,0.44,0.15
"SL1344_tRNA_38",6627.05,6513.63,10512.9,6824.61,8959.33,6479.3
"SL1344_tRNA_39",15339.43,15681.87,20214.13,28694.17,20213.81,31567.44
"SL1344_2379",9.92,10.2,13.64,12.98,8.62,2.71
"SL1344_2380",8.3,7.9,10.82,11.33,0.35,0.33
"SL1344_2381",17.06,16.67,3.86,4.95,0.49,0.4
"SL1344_tRNA_40",7700.94,7842.36,9781.57,24623.79,7194.62,25930.22
"SL1344_tRNA_41",3319.56,3442.78,5616.83,5543.94,4139.75,4921.36
"SL1344_tRNA_42",3350.42,3281.64,5638.58,5538.71,4215.33,4918.93
"SL1344_tRNA_43",1624.13,1674.59,2172.99,2189.59,2363.14,3435.84
"SL1344_2382",1.52,2.06,0.49,0.82,0.14,0.12
"SL1344_2383",0.65,0.66,0.55,0.73,1.56,0.53
"SL1344_2384",0.56,0.66,0.98,0.68,0.51,0.26
"SL1344_2385",0.06,0.16,0.13,0.06,0.09,0.04
"SL1344_2386",0.88,0.48,0.5,0.77,0.47,0.62
"SL1344_2387",0.89,0.68,0.89,0.74,0.22,0.1
"SL1344_2388",3.91,3.63,1.67,2.12,0.67,0.35
"SL1344_2389",12.15,9.49,4.58,6.28,0.69,0.35
"SL1344_2390",5.77,5.32,1.65,2.11,0.15,0.11
"SL1344_2391",34.43,35.78,17.54,19.99,5.3,2.68
"SL1344_2392",4.76,3.7,2.8,2.84,0.33,0.22
"SL1344_2393",4.29,4,13.76,9.25,1.99,1.16
"SL1344_2394",46.38,51.56,27.28,28.6,6.83,2.87
"SL1344_2395",48.03,48.47,24.91,31.74,2.99,1.84
"SL1344_2396",85.21,84.54,50.13,60.24,14.34,14.02
"SL1344_2397",2.7,2.5,0.95,0.63,0.08,0.07
"SL1344_2398",2.84,2.83,1.04,0.89,0.12,0.09
"SL1344_2399",1.72,1.47,0.85,0.69,0.16,0.09
"SL1344_2400",2.7,3.44,1.27,1.22,0.25,0.11
"SL1344_2401",3.53,2.6,1.23,0.91,0.26,0.14
"SL1344_2402",4.51,4.88,2.86,2.65,1.35,0.61
"SL1344_2403",1.7,1.74,1.87,2.61,0.07,0.15
"SL1344_2404",0.5,0.59,1.7,2.37,0.08,0.09
"SL1344_2405",0.3,0.42,1.58,1.02,0.11,0.04
"SL1344_2406",1.46,1.63,2.41,1.25,0.26,0.18
"SL1344_2407",0.71,1,3.42,0.46,0.29,0.15
"SL1344_2408",10.07,10.04,23.23,21.2,3.54,2.46
"SL1344_2409",9.18,9.04,4.09,5.54,0.2,0.11
"SL1344_2410",4.18,3.94,1.74,1.97,0.1,0.06
"SL1344_2411",5.87,5.39,2.35,3.74,0.41,0.23
"SL1344_2412",9.67,9.24,4.37,5.76,0.97,0.41
"SL1344_2413",4.91,4.53,1.43,1.53,0.43,0.23
"SL1344_2414",2.27,2.29,0.79,0.95,0.22,0.09
"SL1344_2415",3.61,4.35,2.08,2.19,3.62,2.33
"SL1344_2416",1.68,1.57,1.13,1.39,0.47,0.17
"SL1344_2417",0.59,0.92,1.1,1.06,0.24,0.17
"SL1344_2418",0.31,0.37,0.86,1.45,0.33,0.2
"SL1344_2419",0.31,0.32,1.06,0.62,0.39,0.09
"SL1344_2420",0.2,0.12,0.22,0.41,0.07,0.06
"SL1344_2421",0.06,0.04,0.2,0.35,0.04,0.02
"SL1344_2422",0.24,0.2,0.31,0.42,0.09,0.04
"SL1344_2423",0.32,0.36,0.72,0.53,0.82,0.45
"SL1344_2424",0.07,0.13,0.13,0.2,0.01,0
"SL1344_2425",0.12,0.19,0.19,0.29,0.04,0.01
"SL1344_2426",0.24,0.13,0.16,0.28,0.02,0.02
"SL1344_2427",0.17,0.26,0.25,0.41,0.04,0.01
"SL1344_2428",0.18,0.36,1.35,1.85,0.13,0.03
"SL1344_2429",0.1,0.05,0.44,0.47,0.02,0.02
"SL1344_2430",0.42,0.23,0.19,0.34,0.04,0.01
"SL1344_2431",0.3,0.15,0.14,0.29,0.07,0.05
"SL1344_2432",0.16,0.11,0.18,0.34,0.01,0.03
"SL1344_2433",0,0,0.23,0.51,0.04,0.02
"SL1344_2434",9.31,9.03,9.65,1.6,3.73,0.39
"SL1344_2435",4.65,4.52,7.07,7.04,0.56,0.35
"SL1344_2436",0.9,0.69,2.45,3.12,1.9,1.94
"SL1344_2437",1.53,1.67,3.68,4.02,1.81,1.3
"SL1344_2438",11.77,11.29,17.43,22.23,1.13,2.63
"SL1344_2439",1.91,1.67,0.27,0.41,0.36,0.12
"SL1344_2440",5.62,6.29,1.45,2.04,0.25,0.2
"SL1344_2441",2.31,2.67,2.26,2.69,0.82,0.43
"SL1344_2442",0.26,0.21,0.59,0.8,0.07,0.02
"SL1344_2443",0.65,0.66,0.97,1.11,0.55,0.36
"SL1344_2444",0.99,0.8,0.51,0.63,0.24,0.09
"SL1344_2444A",79.85,72.59,201.82,201.26,363.61,99.13
"SL1344_2445",5.73,5.41,2.35,2.77,0.26,0.14
"SL1344_2446",7.71,8.14,5.16,4.96,2.14,1.18
"SL1344_2447",9.02,14.14,5.68,7.67,3.38,1.9
"SL1344_2448",2.89,2.57,1.65,1.82,0.57,0.36
"SL1344_2449",4.62,4.95,2.8,2.73,3.05,1.39
"SL1344_2450",6.49,5.99,5.29,3.95,0.17,0.11
"SL1344_2451",28.12,27.67,10.89,12.45,1.73,1.48
"SL1344_2452",38.36,38.25,14.4,14.96,1.46,0.74
"SL1344_2453",14.64,13.93,8.47,7.51,0.59,0.24
"SL1344_2454",38.49,45.35,19.77,19.14,1.28,0.88
"SL1344_2455",6.5,8.37,2.28,4.85,0.16,0.15
"SL1344_2456",7.52,7.01,2.05,2.3,0.31,0.18
"SL1344_2457",4.63,4.6,2.59,2.98,0.51,0.27
"SL1344_2458",8.06,7.97,4.5,5.7,0.42,0.17
"SL1344_2459",21.69,23.14,5.1,6.29,0.9,0.49
"SL1344_2460",7.67,7.95,2.57,2.63,0.26,0.15
"SL1344_2461",21.68,20.42,7.96,9.34,0.33,0.44
"SL1344_2462",11.49,11.07,9.68,5.34,0.71,0.36
"SL1344_2463",13.46,13.27,7.68,6.02,0.91,0.64
"SL1344_2464",8.83,9.01,4.93,5.36,1.13,0.64
"SL1344_2465",6.13,6.7,3.92,4.18,0.45,0.22
"SL1344_2466",0.6,0.68,1.95,2.24,1.38,0.52
"SL1344_2467",11.81,13.79,17.84,15.94,13.19,7.21
"SL1344_2468",8.77,11.14,11.33,17.65,3.71,4.43
"SL1344_2469",6.51,7.67,4.06,3.51,4.91,1.45
"SL1344_2470",2.68,3.21,1.22,1.11,5.51,2.82
"SL1344_2471",46.82,46.94,2.28,2.94,0.21,0.19
"SL1344_2472",38.75,39.2,1.68,2.14,0.41,0.25
"SL1344_2473",8.88,7.67,0.98,1.42,0.89,0.3
"SL1344_2474",0.58,0.39,0.27,0.27,0.11,0.06
"SL1344_2475",1.72,1.56,0.53,0.58,0.11,0.06
"SL1344_2477",0.93,0.97,0.77,0.9,0.52,0.28
"SL1344_2478",0.22,0.27,0.19,0.26,0.07,0.05
"SL1344_2479",0.19,0.23,0.21,0.21,0.17,0.06
"SL1344_2480",5.13,6.58,1.13,2.15,23.91,14.24
"SL1344_2481",6.91,7.19,1.82,2.28,0.44,0.27
"SL1344_2482",33.17,33.78,11.64,13,4.29,3.9
"SL1344_2483",23.15,21.8,6.64,8.18,0.69,0.46
"SL1344_2484",18.46,20.03,6.36,8.92,0.7,0.54
"SL1344_2485",14.6,14.82,4.67,7.03,1.01,0.79
"SL1344_2486",15.36,14.9,5.82,7.27,1.43,0.74
"SL1344_2487",15.18,15.33,3.4,4.29,0.38,0.22
"SL1344_2488",34.65,33.87,25.21,16.84,2.92,1.63
"SL1344_2489",1.2,1.36,2.08,1.52,0.5,0.31
"SL1344_2490",0.35,0.45,0.85,1.03,0.05,0.04
"SL1344_2491",0.41,0.41,0.45,0.75,0.06,0.02
"SL1344_2492",0.51,0.34,0.64,1.03,0.15,0.08
"SL1344_2493",1.36,1.49,0.9,1.02,0.19,0.06
"SL1344_2494",3.57,3.38,2.85,2.89,0.31,0.2
"SL1344_2495",4.82,5.07,4.85,4.83,1.78,1.11
"SL1344_2496",2.52,3.04,1.69,1.73,1,0.66
"STnc2070",57.03,60.33,33.52,55.37,20.98,19.36
"RyfA",25.72,32.65,19.76,24.84,2.6,2.42
"SL1344_ncRNA_64",25.72,32.65,19.76,24.84,2.6,2.42
"SL1344_2497",12.22,11.81,1.62,2.03,0.1,0.06
"SL1344_2498",10.43,10.83,2.09,2.67,0.24,0.16
"SL1344_2499",30.41,29.97,3.79,6.11,0.75,0.48
"SL1344_2500",38.15,35.71,3.85,4.42,0.47,0.25
"SL1344_2501",19.39,20.16,2.1,2.62,0.5,0.29
"SL1344_2502",26.9,28.15,2.26,2.87,0.4,0.26
"SL1344_2503",87.05,90.88,6.45,9.74,1.79,1.16
"SL1344_2504",43.16,44.21,4.25,5.73,2.21,1
"SL1344_2505",31.44,31.41,2.71,3.91,1.24,0.87
"SL1344_2506",33.43,30.77,3.14,4.55,3.79,2.81
"SL1344_2507",14.86,13.97,3.89,4.69,2.62,0.99
"SL1344_2508",31.99,34.65,3.75,5.83,1.84,0.8
"SL1344_2509",2.27,1.93,1.99,1.63,2.5,0.98
"SL1344_2510",0.25,0.2,0.25,0.25,0.46,0.19
"SL1344_2511",0.19,0.32,0.41,0.42,0.14,0.07
"SL1344_2512",0.82,1.11,0.55,0.72,0.06,0.05
"SL1344_2513",2.15,1.69,1.14,1.08,0.07,0.05
"SL1344_2514",2.59,2.08,1.02,1.13,0.19,0.06
"SL1344_2515",3.22,3.51,3.78,4.17,2.68,1.46
"SL1344_2516",5.45,6.06,1.17,1.42,0.32,0.25
"SL1344_2517",19.87,18.84,17.35,20.07,2.74,2.41
"SL1344_2518",0.59,0.92,0.85,0.75,3.96,1.29
"SL1344_2519",5.7,5.17,1.97,2.78,1.68,0.93
"SL1344_2520",1.56,1.25,0.28,0.4,0.16,0.08
"SL1344_2521",1.6,1.74,0.74,0.75,0.29,0.17
"SL1344_2522",2.18,1.95,0.71,0.85,0.3,0.17
"SL1344_2523",50.42,52.55,18.29,18.24,1.52,0.67
"SL1344_2524",5.56,6.06,2.1,2.97,0.21,0.1
"SL1344_2525",7.75,7.47,4.86,4.52,0.48,0.29
"SL1344_2526",4.85,3.9,2.56,2.64,0.49,0.32
"GlmY",366.65,379.89,239.3,287.53,169.14,168.04
"SL1344_ncRNA_65",366.65,379.89,239.3,287.53,169.14,168.04
"SL1344_2527",4.06,4.16,2.18,1.62,0.09,0.05
"SL1344_2529",4.21,4.22,1.82,1.86,0.32,0.18
"SL1344_2530",4.6,5.58,2.74,3.58,0.43,0.31
"SL1344_2531",2.65,2.87,2.99,3.86,0.94,0.61
"SL1344_2532",1.22,1.3,1.33,1.28,0.37,0.19
"SL1344_2533",1.51,1.98,1.64,1.3,0.1,0.04
"SL1344_2534",1.98,1.81,0.63,0.84,0.06,0.06
"SL1344_2535",1.82,1.38,1,1.11,0.36,0.11
"SL1344_2536",0.32,0.22,0.14,0.16,0.4,0.12
"SL1344_2537",1.59,1.32,1.11,1.19,0.52,0.2
"SL1344_2538",9.62,10.69,0.92,1.07,0.2,0.11
"SL1344_2539",13.25,12.87,2.31,2.94,0.15,0.1
"SL1344_2540",7.68,7.3,1.92,2.49,0.06,0.09
"SL1344_2541",19.86,19.11,4.67,5.17,0.19,0.23
"SL1344_2542",21.24,22.22,4.59,6.34,0.3,0.22
"SL1344_2543",23.92,22.19,8.9,10.49,4.59,1.94
"SL1344_2544",24.01,23.33,6.04,7.09,0.56,0.28
"SL1344_2545",21.25,22.07,5.65,7.08,0.53,0.26
"SL1344_2546",3.18,3.54,1.46,1.96,0.38,0.12
"SL1344_2547",2.03,1.93,10.76,10.43,1.52,0.77
"SL1344_ncRNA_66",50.65,50.25,109.44,91.05,3.17,2.49
"STnc1380",50.65,50.25,109.44,91.05,3.17,2.49
"SL1344_2548",1.57,0.79,0.66,0.72,0.3,0.31
"SL1344_2549",2.73,2.97,18.9,15.46,8.48,3.62
"SL1344_2550",0.49,0.5,2.99,3.06,2.72,1.03
"SL1344_2551",0.13,0.19,0.36,0.23,0.31,0.13
"SL1344_2552",0.39,0.57,0.39,0.39,0.1,0.05
"SL1344_2552A",0.21,0.21,0.36,0.51,0.11,0
"SL1344_2553",0.22,0.22,0.21,0.21,0.07,0.03
"SL1344_2554",0.24,0.12,0.18,0.22,0.06,0.02
"SL1344_2555",0.53,0.35,0.44,0.5,0.12,0.05
"SL1344_2556",1.14,0.97,0.68,0.71,0.14,0.09
"SL1344_2557",1.57,1.19,1.12,1.38,0.49,0.22
"SL1344_2558",0.93,0.83,0.5,0.53,0.13,0.07
"STnc3770",12.95,10.92,7.21,4.84,1.67,1.17
"SL1344_2559",0.49,0.25,0.41,0.34,0.06,0
"SL1344_2560",0.13,0.13,0.25,0.33,0.07,0
"SL1344_2561",0.8,0.42,0.79,0.89,0.17,0.11
"SL1344_2562",1.16,0.91,1.24,1.29,0.13,0.09
"SL1344_2563",55.75,57.35,45.51,30.94,4.96,2.62
"SL1344_2564",5.77,4.86,4.94,16.17,0.71,1.04
"SL1344_2565",0.88,0.75,1.42,1.14,0.22,0.08
"SL1344_2566",0.58,0.65,0.94,0.72,0.11,0.02
"SL1344_2567",1.03,0.66,1.22,1.22,0.34,0.2
"SL1344_2568",0.3,0.22,0.5,0.67,0.09,0.08
"SL1344_2569",0.45,0.38,0.56,0.62,0.09,0.02
"SL1344_2570",1.36,1.32,1.43,1.29,1.49,0.81
"SL1344_2571",0.25,0.13,0.37,0.43,0.19,0.04
"SL1344_2572",0.82,0.66,0.54,0.61,0.12,0.07
"SL1344_2573",0.43,0.14,0.42,0.71,0.22,0.06
"SL1344_2574",3.41,2.98,2.63,2.83,1.56,0.9
"STnc1920",10.04,10.38,22.54,20.59,13.13,6.86
"SL1344_2575",0.22,0.28,0.53,3.21,0.18,0.95
"SL1344_2576",0.4,0.35,0.48,0.57,0.35,0.15
"SL1344_2577",3.24,3.26,11.61,12.2,2.19,0.93
"IsrI",2.51,2.31,4.39,5,3.19,1.79
"SL1344_ncRNA_67",2.51,2.31,4.39,5,3.19,1.79
"SL1344_tRNA_44",56.7,45.11,166.58,161.34,564.05,811.6
"STnc2080",48.71,41.63,174.08,193.23,910.66,937.58
"IsrJ",152.87,155.04,58.33,51.42,252.49,68.18
"SL1344_ncRNA_68",152.87,155.04,58.33,51.42,252.49,68.18
"SL1344_2578",2.71,3.01,0.71,1.11,0.19,0.06
"SL1344_ncRNA_69",412.75,383.07,825.1,767.34,3131.38,1803.79
"STnc1160",412.75,383.07,825.1,767.34,3131.38,1803.79
"IsrK",127.81,130.07,74.46,72.61,23.92,24.58
"SL1344_ncRNA_70",127.81,130.07,74.46,72.61,23.92,24.58
"SL1344_2579",0.27,0.38,0.1,0.21,0.05,0.05
"SL1344_2580",0.37,0.18,0.08,0.34,0.05,0.09
"SL1344_2581",0.3,0.34,0.21,0.22,0.01,0.01
"SL1344_2582",5.15,5.28,3.27,3.41,1.6,1.03
"SL1344_2583",13.63,12.36,5.51,6.41,2.54,0.87
"SL1344_2584",20.81,21.85,12.14,11.34,5.8,1.76
"SL1344_2585",13.89,18.47,19.04,21.98,10.2,4.4
"SL1344_2586",2.57,3.7,3.01,3.39,4.4,1.86
"SL1344_2587",0.63,0.6,0.52,0.64,0.11,0.06
"SL1344_2588",0.71,0.55,0.51,0.54,0.1,0.06
"SL1344_2589",0.43,0.35,0.41,0.39,0.13,0.05
"SL1344_2590",0.6,0.3,0.38,0.26,0.12,0
"SL1344_2591",0.54,0.72,0.82,0.81,0.29,0.12
"SL1344_ncRNA_71",326.56,300.35,407.82,307.9,145.7,84.06
"STnc1390",326.56,300.35,407.82,307.9,145.7,84.06
"SL1344_2592",0.86,0.68,0.77,0.76,0.17,0.08
"SL1344_2593",82.48,81.37,27.28,27.2,13.84,4.6
"SL1344_2594",98.97,98.59,50.34,60.6,6.38,3.74
"SL1344_2595",1.13,1.51,3.36,20.09,7.73,4.79
"SL1344_2596",1.33,1.17,1.05,1.22,0.33,0.18
"SL1344_ncRNA_72",221.78,220.51,129.07,96.27,7.12,3.29
"STnc1400",221.78,220.51,129.07,96.27,7.12,3.29
"SL1344_2597",0.44,0.46,0.39,0.56,0.1,0.04
"SL1344_2597A",0.33,0.31,0.35,0.45,0.06,0.02
"SL1344_2598",0.32,0.33,0.41,0.34,0,0
"SL1344_2599",1.64,1.74,0.8,0.98,0.25,0.23
"SL1344_2600",1.62,2.1,0.61,0.62,0.22,0.09
"SL1344_2601",6.2,6.68,1.84,2.47,0.52,0.35
"SL1344_2602",11.64,10.82,3.9,4.82,1.8,1.08
"SL1344_2603",14.72,14.7,6.87,7.54,3.91,2.31
"SL1344_2604",19.33,20.2,8.99,11.13,6.7,4.33
"SL1344_2605",1.77,1.98,0.86,0.92,0.14,0.08
"SL1344_2606",4.28,4.38,1.89,2,0.14,0.07
"SL1344_2607",10.53,10.92,2.38,3.4,0.89,0.34
"SL1344_2608",1.53,1.88,1.09,1.4,0.73,0.38
"SL1344_2609",0.79,0.44,0.48,0.49,0.27,0.17
"SL1344_2610",3.3,3.33,89.99,125.01,0.66,0.36
"SL1344_2611",12.31,11.72,6.72,5.87,0.97,0.7
"SL1344_2612",7.58,7.16,1.7,2.33,0.78,0.46
"SL1344_2613",21.95,21.61,11.92,12.22,9.24,7.04
"SL1344_2614",8.25,7.12,2.14,2.62,0.46,0.19
"SL1344_2615",4.8,4.95,3.92,4.69,1.07,0.57
"SL1344_2616",11.75,11.68,6.14,8.65,0.67,0.45
"SL1344_2617",4.24,4.51,1.48,2.42,0.1,0.22
"SL1344_2618",1.45,1.54,1.04,0.99,0.3,0.2
"SL1344_2619",1.02,1.03,1.6,1.41,0.82,0.54
"SL1344_rRNA_4",41536.6,40965.95,29284.41,63130.87,23328.02,80380.11
"SL1344_rRNA_5",4847.47,4904.46,2328.95,3568.75,1163.15,1846.74
"SL1344_tRNA_45",3455.79,3476.72,4557.61,4149.69,4034.55,4266.45
"SL1344_rRNA_6",5015.68,5083.1,2203.48,4129.17,1655.53,1997.09
"SL1344_2620",52.12,53.55,53.47,105.49,42.99,84.67
"SL1344_2621",15.67,14.54,6.33,8.23,1.56,0.92
"SL1344_2622",11.77,12.39,8.46,9.37,1.78,1.42
"SL1344_2623",19.65,19.47,7.19,11.99,0.87,1.24
"STnc3160",11.67,13.18,16.86,38.44,60.42,43.54
"SL1344_2624",33.38,39.16,391.87,354.64,195.15,226.52
"SL1344_ncRNA_73",18.24,23.62,297.25,458.81,325.76,454.97
"STnc2090",18.24,23.62,297.25,458.81,325.76,454.97
"SL1344_ncRNA_74",54.35,51.24,74.7,58.63,17.66,9.78
"sRNA3",54.35,51.24,74.7,58.63,17.66,9.78
"SL1344_2625",2.54,2.54,1.99,2.31,0.52,0.17
"SL1344_2626",1,1,1.35,1.27,0.92,0.38
"STnc3790",3.11,5.22,6.53,4.73,7.84,2.85
"SL1344_2627",5.02,4.66,1.52,1.87,0.37,0.28
"SL1344_2628",3.65,3.6,1.33,1.97,0.48,0.26
"SL1344_2629",3.69,3.82,0.78,1.89,6.93,4.04
"SL1344_2630",2.52,2.39,0.64,0.84,0.59,0.25
"SL1344_2631",12.8,12.87,5.36,5.96,0.53,0.35
"SL1344_2632",22.38,22.77,13.42,11.75,0.5,0.24
"SL1344_2633",13.99,13.47,5.41,6.3,0.27,0.3
"SL1344_2634",0.51,1.33,0.46,0.52,0.17,0.08
"SL1344_2635",0.25,0.2,0.17,0.08,0.09,0.06
"SL1344_2636",0.26,0,0.16,0.03,0.03,0
"SL1344_2637",0.15,0.23,0.1,0.04,0,0.01
"SL1344_2638",0.23,0.46,0.05,0.12,0.03,0
"SL1344_2639",1.27,1.39,0.68,1.21,0.15,0
"SL1344_2640",2.58,2.7,1.29,1.55,0.11,0.05
"SL1344_2641",0.31,0.37,0.19,0.17,0.11,0.03
"SL1344_2642",0.59,0.97,0.34,0.52,0.11,0.02
"SL1344_2643",0.87,0.51,0.46,0.89,0.7,0.63
"STnc3800",23.77,23.31,17.56,16.27,19.37,8.83
"SL1344_2644",7.66,9.19,7.84,8.55,1.18,0.51
"SL1344_2645",10.17,12.74,16.05,15.16,1.79,1.32
"SL1344_2646",273.19,278.8,36.3,42.66,13.25,14.36
"SL1344_2647",195.35,192.86,15.41,19.01,0.43,0.22
"SL1344_2648",377.81,381.87,26.08,37.45,0.26,0.29
"SL1344_2649",277.81,278.2,32.46,80.78,0.79,2.35
"SL1344_2650",12.17,11.55,4.13,5.16,0.45,0.34
"SL1344_2651",13.11,13.4,2.69,3.38,0.44,0.22
"SL1344_2652",10.84,10.14,2.62,3.91,0.47,0.41
"STnc4230",35.02,32.29,14.2,19.61,3.3,2.11
"SL1344_2653",7.61,7.62,2.17,3.47,0.67,0.6
"SL1344_2654",128.26,130.32,21.32,22.6,3.56,2.45
"SL1344_2655",3.54,3.23,1.89,2.05,0.52,0.29
"SL1344_2656",7.45,7.25,1.76,2.06,0.81,0.3
"SL1344_2657",48.05,51.55,13.03,14.86,3.35,1.94
"SL1344_2658",13.53,13.09,7.03,10.85,1.28,1
"SL1344_2659",18.17,19.73,13.22,13.86,2.56,1.31
"SL1344_2660",24.88,23.54,9.3,12.69,1.87,1.86
"SL1344_2661",0.42,0.48,0.3,0.3,1.89,1.3
"IsrL",1.35,1.81,2.08,1.88,6.97,3.19
"SL1344_ncRNA_75",1.35,1.81,2.08,1.88,6.97,3.19
"SL1344_2662",2.02,2.22,2.34,1.76,1.74,1.02
"STnc3070",25.47,25.65,37.54,25.68,35.7,20.34
"SL1344_2663",0.2,0.23,0.07,0.1,0.21,0.08
"SL1344_2664",0.8,0.99,0.67,0.71,0.43,0.24
"SL1344_2665",2.72,2.38,1.59,1.34,1.07,0.35
"SL1344_2666",0.26,0.17,0.12,0.15,0.12,0.03
"SL1344_2667",0.11,0.11,0.02,0.15,0.01,0.01
"SL1344_2668",0.18,0.2,0.1,0.1,0.03,0.01
"SL1344_2669",0,0.43,0,0.17,0,0.03
"SL1344_2670",0.26,0.17,0.04,0.09,0.04,0.04
"SL1344_2671",0.1,0.1,0.04,0.04,0.05,0.02
"SL1344_2672",0.35,0.49,0.11,0.16,0.07,0.02
